node_id,in_degree,out_degree,total_degree,undirected_degree
1180,174,174,348,174
1181,40,40,80,40
1182,41,41,82,41
1183,21,21,42,21
1184,41,41,82,41
1185,165,165,330,165
1186,9,9,18,9
1187,61,61,122,61
1188,70,70,140,70
1189,81,81,162,81
1190,92,92,184,92
1191,100,100,200,100
1192,19,19,38,19
1193,160,160,320,160
1194,12,12,24,12
1195,97,97,194,97
1196,48,48,96,48
1197,64,64,128,64
1198,118,118,236,118
1199,17,17,34,17
1200,11,11,22,11
1202,200,200,400,200
1203,49,49,98,49
1204,34,34,68,34
1205,78,78,156,78
1206,57,57,114,57
1207,64,64,128,64
1208,94,94,188,94
1209,44,44,88,44
1210,87,87,174,87
1211,18,18,36,18
1212,19,19,38,19
1213,203,203,406,203
1214,37,37,74,37
1215,47,47,94,47
1216,200,200,400,200
1217,109,109,218,109
1218,26,26,52,26
1220,6,6,12,6
1221,65,65,130,65
1222,76,76,152,76
1223,8,8,16,8
1224,71,71,142,71
1226,11,11,22,11
1227,10,10,20,10
1228,54,54,108,54
1229,34,34,68,34
1230,6,6,12,6
1231,24,24,48,24
1232,10,10,20,10
1233,322,322,644,322
1234,97,97,194,97
1235,8,8,16,8
1236,79,79,158,79
1237,7,7,14,7
1238,50,50,100,50
1239,32,32,64,32
1240,45,45,90,45
1241,25,25,50,25
1242,69,69,138,69
1243,14,14,28,14
1244,59,59,118,59
1245,81,81,162,81
1246,31,31,62,31
1247,24,24,48,24
1248,34,34,68,34
1249,7,7,14,7
1250,11,11,22,11
1251,6,6,12,6
1252,98,98,196,98
1253,52,52,104,52
1255,23,23,46,23
1257,6,6,12,6
1259,36,36,72,36
1265,24,24,48,24
1276,9,9,18,9
1282,1,1,2,1
1286,11,11,22,11
1287,3,3,6,3
1288,28,28,56,28
1289,51,51,102,51
1290,21,21,42,21
1291,88,88,176,88
1292,20,20,40,20
1293,26,26,52,26
1294,27,27,54,27
1295,34,34,68,34
1296,28,28,56,28
1297,152,152,304,152
1298,49,49,98,49
1299,12,12,24,12
1300,49,49,98,49
1301,23,23,46,23
1302,54,54,108,54
1303,32,32,64,32
1304,210,210,420,210
1305,62,62,124,62
1306,116,116,232,116
1307,66,66,132,66
1308,123,123,246,123
1309,8,8,16,8
1310,66,66,132,66
1311,15,15,30,15
1312,31,31,62,31
1313,46,46,92,46
1314,87,87,174,87
1315,70,70,140,70
1316,74,74,148,74
1317,42,42,84,42
1318,43,43,86,43
1319,24,24,48,24
1320,137,137,274,137
1321,86,86,172,86
1322,14,14,28,14
1323,51,51,102,51
1324,64,64,128,64
1325,12,12,24,12
1326,41,41,82,41
1327,10,10,20,10
1328,19,19,38,19
1329,8,8,16,8
1330,147,147,294,147
